# object  ghidra-address  method  class+slot
# generated by tools/gen_vtable_callsites.py — see its docstring
MeAssetDBXMLIO.o 0x00010354 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeAssetDBXMLInput_1_0.o 0x000112f3 kd_MeMemoryAPI_resize MeMemoryAPI+0x14
MeAssetDBXMLInput_1_0.o 0x00011331 kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeAssetDBXMLInput_1_0.o 0x0001134e kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetDBXMLInput_1_0.o 0x00011421 kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeAssetDBXMLInput_1_0.o 0x00011544 kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeAssetDBXMLInput_1_0.o 0x000115ab kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeAssetDBXMLInput_1_0.o 0x0001168e kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeAssetDBXMLInput_1_0.o 0x00011697 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeAssetFactory.o 0x0001000b kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetFactory.o 0x0001011a kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetFactory.o 0x000102a1 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetFactory.o 0x00010377 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetFactory.o 0x00010546 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeAssetFactory.o 0x0001060c kd_MeMemoryAPI_destroyAligned MeMemoryAPI+0x10
MeAssetFactory.o 0x00010699 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeAssetFactory.o 0x00010705 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeAssetFactoryCreateFuncs.o 0x00010454 kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
MeChunk.o 0x00010059 kd_MeMemoryAPI_destroyAligned MeMemoryAPI+0x10
MeChunk.o 0x000100b0 kd_MeMemoryAPI_destroyAligned MeMemoryAPI+0x10
MeChunk.o 0x000100dd kd_MeMemoryAPI_createAligned MeMemoryAPI+0x08
MeChunk.o 0x00010107 kd_MeMemoryAPI_destroyAligned MeMemoryAPI+0x10
MeChunk.o 0x0001014a kd_MeMemoryAPI_destroyAligned MeMemoryAPI+0x10
MeCommandLine.o 0x000105fe kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeCommandLine.o 0x00010621 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeCommandLine.o 0x000106f3 kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeCommandLine.o 0x000106fc kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeDict.o 0x000109f8 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeDict.o 0x00010a9a kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeDict.o 0x00010f88 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeDict.o 0x00010ffa kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeDict.o 0x00011128 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeDict.o 0x0001114a kd_MeMemoryAPI_destroy MeMemoryAPI+0x0c
MeFAsset.o 0x00010013 kd_MeMemoryAPI_createZeroed MeMemoryAPI+0x04
MeFAsset.o 0x00010023 kd_MeMemoryAPI_create MeMemoryAPI+0x00
MeFAsset.o 0x00010036 kd_MeMemoryAPI_create MeMemoryAPI+0x00
