step,b0_x,b0_y,b0_z,b1_x,b1_y,b1_z,b2_x,b2_y,b2_z,b3_x,b3_y,b3_z,b4_x,b4_y,b4_z,b5_x,b5_y,b5_z,b6_x,b6_y,b6_z,b7_x,b7_y,b7_z,b8_x,b8_y,b8_z,b9_x,b9_y,b9_z,b10_x,b10_y,b10_z,b11_x,b11_y,b11_z
46,0.425817251,-0.353249818,6.71956491,0.792133272,-0.24324353,6.28869677,1.24973857,-0.100218624,5.87070894,1.76098418,-0.153588727,5.42414856,2.04745436,-0.0961698741,4.85703659,2.19705462,0.0122470437,4.30972624,2.40015292,-0.162115633,3.77723408,2.72074246,-0.092689015,3.35957479,3.2851243,-0.00490719313,3.08062744,3.74562335,-0.130690053,2.58908463,3.91491652,-0.135131523,1.97110915,3.87538648,0.0705892518,1.57134616
47,0.436703801,-0.360336035,6.58286095,0.802855551,-0.250456899,6.15384245,1.26197946,-0.108101346,5.73794603,1.77455652,-0.156593069,5.29220963,2.05869579,-0.100422591,4.72410107,2.20421481,0.00768038863,4.17635345,2.40545726,-0.165420488,3.64301848,2.7247715,-0.0961447284,3.22746611,3.29158878,-0.0107567888,2.95288181,3.75351477,-0.133464485,2.46093655,3.91795111,-0.139338017,1.84169054,3.87042117,0.0666659698,1.44690359
48,0.447660536,-0.367403358,6.44338465,0.813652456,-0.25765419,6.01622915,1.2742691,-0.116007261,5.60244322,1.788082,-0.159601957,5.15752268,2.06989169,-0.10468553,4.5884366,2.21137094,0.00311712874,4.04026079,2.41081405,-0.16871646,3.50607634,2.72886539,-0.0995816439,3.09262681,3.29804444,-0.0166323204,2.82238746,3.76133585,-0.136242628,2.33004069,3.92092276,-0.143518627,1.70956969,3.86546516,0.0627254397,1.31981552
49,0.458687007,-0.374451816,6.30113649,0.824523926,-0.264835268,5.87585831,1.28660679,-0.123934895,5.46420097,1.80155945,-0.162616283,5.02008772,2.08104253,-0.108959332,4.45004416,2.2185235,-0.00144271378,3.90144849,2.41622281,-0.172003344,3.36640787,2.73302436,-0.103000492,2.95505691,3.30449128,-0.0225326605,2.68914413,3.76908517,-0.139024839,2.19639778,3.92383218,-0.147674099,1.57474661,3.86052012,0.0587682575,1.19007969
50,0.46978274,-0.381481439,6.15611792,0.835469782,-0.272000015,5.73272991,1.2989918,-0.131882757,5.32321978,1.81498766,-0.165636957,4.87990618,2.0921483,-0.113244645,4.30892372,2.2256732,-0.00599915022,3.75991654,2.42168307,-0.175280914,3.22401333,2.7372489,-0.10640195,2.81475568,3.31092954,-0.0284566693,2.55315161,3.77676153,-0.141811505,2.06000829,3.92667937,-0.151805148,1.43722129,3.85558748,0.0547949858,1.05769408
51,0.480947256,-0.388492316,6.00832939,0.846489906,-0.27914834,5.58684492,1.31142342,-0.139849365,5.17950058,1.82836556,-0.168664873,4.73697805,2.1032095,-0.117542058,4.16507578,2.23282051,-0.0105522098,3.61566448,2.4271946,-0.178548947,3.07889318,2.741539,-0.109786712,2.67172337,3.31735921,-0.0344032086,2.41440964,3.78436351,-0.144603029,1.92087281,3.92946506,-0.155912474,1.29699397,3.85066867,0.0508061834,0.922656596
52,0.49218002,-0.395484537,5.85777187,0.857584059,-0.286280125,5.43820429,1.32390106,-0.147833228,5.03304434,1.84169209,-0.17170091,4.5913043,2.11422634,-0.121852174,4.01850128,2.23996615,-0.0151019199,3.4686923,2.4327569,-0.18180722,2.9310472,2.74589515,-0.113155462,2.52595949,3.32378078,-0.0403711274,2.27291775,3.79189014,-0.147399843,1.77899194,3.9321897,-0.159996733,1.15406477,3.84576511,0.0468023792,0.784965277
53,0.503480613,-0.402458161,5.70444632,0.868752003,-0.293395251,5.28680897,1.33642387,-0.155832887,4.88385105,1.8549664,-0.174745977,4.44288588,2.12519932,-0.126175523,3.86920023,2.24711061,-0.0196483545,3.31900001,2.43836927,-0.185055569,2.78047585,2.75031734,-0.116508849,2.37746382,3.330194,-0.0463592783,2.1286757,3.79934025,-0.150202364,1.63436627,3.93485355,-0.164058551,1.0084337,3.84087801,0.0427840948,0.644618154
54,0.514848471,-0.409413248,5.5483532,0.879993558,-0.300493658,5.13265896,1.34899116,-0.163846835,4.73192167,1.86818755,-0.177800983,4.29172325,2.1361289,-0.130512625,3.71717334,2.25425434,-0.0241915882,3.16658711,2.44403148,-0.1882938,2.62717962,2.75480556,-0.119847521,2.22623634,3.33659911,-0.0523664914,1.98168337,3.80671263,-0.153011054,1.48699641,3.93745732,-0.168098569,0.860100746,3.83600855,0.0387518294,0.501613379
55,0.526283026,-0.416349918,5.38949394,0.891308308,-0.307575285,4.97575569,1.36160219,-0.171873599,4.57725668,1.88135469,-0.180866793,4.13781691,2.14701557,-0.134863988,3.56242085,2.26139808,-0.0287316926,3.01145363,2.44974279,-0.191521734,2.4711585,2.75936007,-0.123172127,2.07227683,3.34299612,-0.0583915971,1.83194053,3.81400633,-0.15582639,1.33688259,3.94000125,-0.172117352,0.709065974,3.83115816,0.0347060673,0.355949104
